nohup: ignoring input
Pretraining 16-layer eigenbasis on 7812 images
Epoch 153/200 | Recon Loss: 0.207991
Epoch 154/200 | Recon Loss: 0.207953
Epoch 155/200 | Recon Loss: 0.207930
Epoch 156/200 | Recon Loss: 0.208122
Epoch 157/200 | Recon Loss: 0.208004
Epoch 158/200 | Recon Loss: 0.207970
Epoch 159/200 | Recon Loss: 0.208008
Epoch 160/200 | Recon Loss: 0.207986
Epoch 161/200 | Recon Loss: 0.208042
Epoch 162/200 | Recon Loss: 0.208072
Epoch 163/200 | Recon Loss: 0.208042
Epoch 164/200 | Recon Loss: 0.208073
Epoch 165/200 | Recon Loss: 0.207959
Epoch 166/200 | Recon Loss: 0.207957
Epoch 167/200 | Recon Loss: 0.208071
Epoch 168/200 | Recon Loss: 0.208044
Epoch 169/200 | Recon Loss: 0.208035
Epoch 170/200 | Recon Loss: 0.207965
Epoch 171/200 | Recon Loss: 0.208043
Epoch 172/200 | Recon Loss: 0.207957
Epoch 173/200 | Recon Loss: 0.208035
Epoch 174/200 | Recon Loss: 0.207976
Epoch 175/200 | Recon Loss: 0.208010
Epoch 176/200 | Recon Loss: 0.208074
Epoch 177/200 | Recon Loss: 0.208076
Epoch 178/200 | Recon Loss: 0.208012
Epoch 179/200 | Recon Loss: 0.207983
Epoch 180/200 | Recon Loss: 0.207975
Epoch 181/200 | Recon Loss: 0.208103
Epoch 182/200 | Recon Loss: 0.208033
Epoch 183/200 | Recon Loss: 0.207987
Epoch 184/200 | Recon Loss: 0.207974
Epoch 185/200 | Recon Loss: 0.208015
Epoch 186/200 | Recon Loss: 0.208016
Epoch 187/200 | Recon Loss: 0.208096
Epoch 188/200 | Recon Loss: 0.207956
Epoch 189/200 | Recon Loss: 0.208033
Epoch 190/200 | Recon Loss: 0.208069
Epoch 191/200 | Recon Loss: 0.208051
Epoch 192/200 | Recon Loss: 0.207994
Epoch 193/200 | Recon Loss: 0.208008
Epoch 194/200 | Recon Loss: 0.208039
Epoch 195/200 | Recon Loss: 0.208030
Epoch 196/200 | Recon Loss: 0.208020
Epoch 197/200 | Recon Loss: 0.208001
Epoch 198/200 | Recon Loss: 0.207994
Epoch 199/200 | Recon Loss: 0.208037
Epoch 200/200 | Recon Loss: 0.208094
16-layer eigenbasis saved: checkpoints/eigenbasis16.pth
