nohup: ignoring input
/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:166: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler  = GradScaler(enabled=use_amp)

=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 200
  Batch size : 4
  LR         : 0.0001

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 1868
  Val   batches : 401

  Initializing IIDM model ...
  Trainable params : 77.42M

  Starting training from epoch 1 ...

/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:202: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp):
  Ep 004 | step 0550/1868 | loss=1.2269 | diff=0.7339 | kd=0.7189 | recon=0.4211 | t=43s
  Ep 004 | step 0600/1868 | loss=1.1331 | diff=0.7037 | kd=0.8581 | recon=0.3437 | t=47s
  Ep 004 | step 0650/1868 | loss=1.1120 | diff=0.6990 | kd=0.6019 | recon=0.3527 | t=51s
  Ep 004 | step 0700/1868 | loss=1.2265 | diff=0.6930 | kd=0.6606 | recon=0.4674 | t=55s
  Ep 004 | step 0750/1868 | loss=1.2337 | diff=0.6935 | kd=1.0653 | recon=0.4337 | t=59s
  Ep 004 | step 0800/1868 | loss=1.2521 | diff=0.6952 | kd=0.8714 | recon=0.4698 | t=63s
  Ep 004 | step 0850/1868 | loss=1.1765 | diff=0.6898 | kd=0.7483 | recon=0.4119 | t=66s
  Ep 004 | step 0900/1868 | loss=1.1377 | diff=0.6961 | kd=0.5928 | recon=0.3823 | t=70s
  Ep 004 | step 0950/1868 | loss=1.1976 | diff=0.6945 | kd=0.5712 | recon=0.4460 | t=74s
  Ep 004 | step 1000/1868 | loss=1.1642 | diff=0.6938 | kd=0.4615 | recon=0.4243 | t=78s
  Ep 004 | step 1050/1868 | loss=1.2318 | diff=0.6874 | kd=0.7599 | recon=0.4684 | t=82s
  Ep 004 | step 1100/1868 | loss=1.1907 | diff=0.6983 | kd=0.9002 | recon=0.4024 | t=86s
  Ep 004 | step 1150/1868 | loss=1.1606 | diff=0.6906 | kd=0.6549 | recon=0.4045 | t=90s
  Ep 004 | step 1200/1868 | loss=1.0986 | diff=0.6922 | kd=0.5947 | recon=0.3470 | t=94s
  Ep 004 | step 1250/1868 | loss=1.2272 | diff=0.6913 | kd=1.0225 | recon=0.4336 | t=98s
  Ep 004 | step 1300/1868 | loss=1.1879 | diff=0.7098 | kd=1.0439 | recon=0.3737 | t=101s
  Ep 004 | step 1350/1868 | loss=1.0615 | diff=0.6857 | kd=0.4925 | recon=0.3266 | t=105s
  Ep 004 | step 1400/1868 | loss=1.1007 | diff=0.6907 | kd=0.7007 | recon=0.3400 | t=109s
  Ep 004 | step 1450/1868 | loss=1.1397 | diff=0.6969 | kd=0.7556 | recon=0.3673 | t=113s
  Ep 004 | step 1500/1868 | loss=1.1458 | diff=0.7060 | kd=0.6007 | recon=0.3797 | t=117s
  Ep 004 | step 1550/1868 | loss=1.1169 | diff=0.6939 | kd=0.5802 | recon=0.3650 | t=121s
  Ep 004 | step 1600/1868 | loss=1.2746 | diff=0.6868 | kd=1.3811 | recon=0.4497 | t=125s
  Ep 004 | step 1650/1868 | loss=1.1932 | diff=0.6876 | kd=0.6798 | recon=0.4377 | t=129s
  Ep 004 | step 1700/1868 | loss=1.1516 | diff=0.6849 | kd=0.6593 | recon=0.4008 | t=133s
  Ep 004 | step 1750/1868 | loss=1.2238 | diff=0.6869 | kd=0.6853 | recon=0.4684 | t=136s
  Ep 004 | step 1800/1868 | loss=1.2306 | diff=0.6865 | kd=1.1578 | recon=0.4283 | t=140s
  Ep 004 | step 1850/1868 | loss=1.1156 | diff=0.6854 | kd=0.5334 | recon=0.3768 | t=144s

  ── Epoch 004/200 (188s) ──────────────────────
  Train  loss=1.1825  diff=0.7040  kd=0.7299  recon=0.4054
  Val    loss=1.1764  RMSE=0.4890  MAE=0.4051  lr=9.99e-05
  [BEST] Checkpoint saved → checkpoints/best_model.pth

  Ep 005 | step 0000/1868 | loss=1.2179 | diff=0.7116 | kd=1.0433 | recon=0.4019 | t=1s
  Ep 005 | step 0050/1868 | loss=1.1756 | diff=0.7098 | kd=0.9429 | recon=0.3715 | t=5s
  Ep 005 | step 0100/1868 | loss=1.0987 | diff=0.6839 | kd=0.5910 | recon=0.3558 | t=8s
  Ep 005 | step 0150/1868 | loss=1.2311 | diff=0.7606 | kd=0.7423 | recon=0.3962 | t=12s
  Ep 005 | step 0200/1868 | loss=1.1572 | diff=0.6957 | kd=1.0005 | recon=0.3615 | t=16s
  Ep 005 | step 0250/1868 | loss=1.1170 | diff=0.6848 | kd=0.7257 | recon=0.3597 | t=20s
  Ep 005 | step 0300/1868 | loss=1.1462 | diff=0.6828 | kd=0.8487 | recon=0.3785 | t=24s
  Ep 005 | step 0350/1868 | loss=1.2565 | diff=0.6837 | kd=0.9530 | recon=0.4775 | t=28s
