Pretraining eigenbasis on 7812 images
Epoch   1/200 | Recon Loss: 0.878862
Epoch 183/200 | Recon Loss: 0.721491
Epoch 184/200 | Recon Loss: 0.721470
Epoch 185/200 | Recon Loss: 0.721590
Epoch 186/200 | Recon Loss: 0.721648
Epoch 187/200 | Recon Loss: 0.721505
Epoch 188/200 | Recon Loss: 0.721515
Epoch 189/200 | Recon Loss: 0.721578
Epoch 190/200 | Recon Loss: 0.721495
Epoch 191/200 | Recon Loss: 0.721576
Epoch 192/200 | Recon Loss: 0.721480
Epoch 193/200 | Recon Loss: 0.721571
Epoch 194/200 | Recon Loss: 0.721517
Epoch 195/200 | Recon Loss: 0.721573
Epoch 196/200 | Recon Loss: 0.721528
Epoch 197/200 | Recon Loss: 0.721467
Epoch 198/200 | Recon Loss: 0.721400
Epoch 199/200 | Recon Loss: 0.721440
Epoch 200/200 | Recon Loss: 0.721574
Eigenbasis saved: checkpoints/eigenbasis.pth
