
=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 15
  Batch size : 2
  LR         : 0.0002

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 3737
  Val   batches : 801

  Initializing IIDM model ...
  Trainable params : 78.56M

  Starting training from epoch 1 ...

  Ep 002 | step 3600/3737 | loss=0.9805 | diff=0.7442 | kd=1.9968 | recon=0.1182 | t=661s
  Ep 002 | step 3650/3737 | loss=0.9970 | diff=0.7815 | kd=1.9939 | recon=0.1078 | t=671s
  Ep 002 | step 3700/3737 | loss=0.9540 | diff=0.7337 | kd=2.0078 | recon=0.1101 | t=680s

  ── Epoch 002/15 (779s) ──────────────────────
  Train  loss=0.9667  diff=0.7672  kd=1.9907  recon=0.0997
  Val    loss=0.9561  RMSE=0.1402  MAE=0.1075  lr=9.57e-05
  [BEST] Checkpoint saved → checkpoints/best_model.pth

  Ep 003 | step 0000/3737 | loss=0.9146 | diff=0.7274 | kd=2.0068 | recon=0.0936 | t=0s
  Ep 003 | step 0050/3737 | loss=0.8894 | diff=0.7420 | kd=1.9853 | recon=0.0737 | t=10s
  Ep 003 | step 0100/3737 | loss=1.1362 | diff=0.7351 | kd=1.9789 | recon=0.2005 | t=19s
  Ep 003 | step 0150/3737 | loss=0.8914 | diff=0.7283 | kd=1.9905 | recon=0.0815 | t=28s
  Ep 003 | step 0200/3737 | loss=0.8782 | diff=0.7372 | kd=1.9908 | recon=0.0705 | t=37s
  Ep 003 | step 0250/3737 | loss=0.9074 | diff=0.7291 | kd=2.0053 | recon=0.0892 | t=47s
  Ep 003 | step 0300/3737 | loss=1.0965 | diff=0.7325 | kd=1.9855 | recon=0.1820 | t=56s
  Ep 003 | step 0350/3737 | loss=0.9925 | diff=0.7221 | kd=1.9907 | recon=0.1352 | t=65s
  Ep 003 | step 0400/3737 | loss=1.0131 | diff=0.8672 | kd=1.9895 | recon=0.0730 | t=74s
  Ep 003 | step 0450/3737 | loss=0.8792 | diff=0.7141 | kd=1.9914 | recon=0.0826 | t=84s
  Ep 003 | step 0500/3737 | loss=0.8318 | diff=0.7223 | kd=1.9833 | recon=0.0548 | t=93s
  Ep 003 | step 0550/3737 | loss=0.9568 | diff=0.7285 | kd=1.9947 | recon=0.1141 | t=102s
  Ep 003 | step 0600/3737 | loss=0.8220 | diff=0.7338 | kd=1.9801 | recon=0.0441 | t=112s
  Ep 003 | step 0650/3737 | loss=0.9664 | diff=0.7764 | kd=1.9850 | recon=0.0950 | t=121s
  Ep 003 | step 0700/3737 | loss=0.8816 | diff=0.7182 | kd=1.9923 | recon=0.0817 | t=130s
  Ep 003 | step 0750/3737 | loss=0.8411 | diff=0.7170 | kd=1.9886 | recon=0.0621 | t=139s
  Ep 003 | step 0800/3737 | loss=0.9747 | diff=0.7355 | kd=1.9872 | recon=0.1196 | t=149s
  Ep 003 | step 0850/3737 | loss=0.8434 | diff=0.7172 | kd=1.9924 | recon=0.0631 | t=158s
  Ep 003 | step 0900/3737 | loss=0.8417 | diff=0.7199 | kd=1.9863 | recon=0.0609 | t=167s
  Ep 003 | step 0950/3737 | loss=0.9024 | diff=0.7359 | kd=1.9957 | recon=0.0832 | t=177s
  Ep 003 | step 1000/3737 | loss=1.0098 | diff=0.7184 | kd=1.9922 | recon=0.1457 | t=186s
  Ep 003 | step 1050/3737 | loss=1.0331 | diff=0.7259 | kd=1.9859 | recon=0.1536 | t=195s
  Ep 003 | step 1100/3737 | loss=1.1506 | diff=0.7173 | kd=1.9868 | recon=0.2166 | t=205s
  Ep 003 | step 1150/3737 | loss=0.8116 | diff=0.7111 | kd=1.9896 | recon=0.0503 | t=214s
  Ep 003 | step 1200/3737 | loss=0.9178 | diff=0.7236 | kd=1.9858 | recon=0.0971 | t=222s
  Ep 003 | step 1250/3737 | loss=0.8427 | diff=0.7123 | kd=1.9854 | recon=0.0652 | t=230s
  Ep 003 | step 1300/3737 | loss=0.9417 | diff=0.7125 | kd=1.9930 | recon=0.1146 | t=238s
  Ep 003 | step 1350/3737 | loss=0.8541 | diff=0.7222 | kd=1.9888 | recon=0.0659 | t=248s
  Ep 003 | step 1400/3737 | loss=0.9761 | diff=0.7134 | kd=1.9902 | recon=0.1313 | t=257s
  Ep 003 | step 1450/3737 | loss=0.8656 | diff=0.7335 | kd=1.9962 | recon=0.0661 | t=266s
  Ep 003 | step 1500/3737 | loss=0.8967 | diff=0.7139 | kd=1.9855 | recon=0.0914 | t=275s
  Ep 003 | step 1550/3737 | loss=1.0421 | diff=0.7153 | kd=1.9887 | recon=0.1634 | t=285s
  Ep 003 | step 1600/3737 | loss=0.7970 | diff=0.7178 | kd=1.9870 | recon=0.0396 | t=294s
  Ep 003 | step 1650/3737 | loss=0.8283 | diff=0.7113 | kd=1.9921 | recon=0.0585 | t=303s
  Ep 003 | step 1700/3737 | loss=0.8715 | diff=0.7433 | kd=2.0065 | recon=0.0641 | t=313s
  Ep 003 | step 1750/3737 | loss=0.8813 | diff=0.7149 | kd=2.0012 | recon=0.0832 | t=322s
  Ep 003 | step 1800/3737 | loss=0.9266 | diff=0.7065 | kd=1.9897 | recon=0.1101 | t=331s
  Ep 003 | step 1850/3737 | loss=0.8695 | diff=0.7349 | kd=2.0035 | recon=0.0673 | t=340s
  Ep 003 | step 1900/3737 | loss=1.0114 | diff=0.8248 | kd=2.0025 | recon=0.0933 | t=350s
  Ep 003 | step 1950/3737 | loss=0.8923 | diff=0.7191 | kd=1.9890 | recon=0.0866 | t=359s
  Ep 003 | step 2000/3737 | loss=0.8147 | diff=0.7149 | kd=1.9827 | recon=0.0499 | t=368s
  Ep 003 | step 2050/3737 | loss=0.8164 | diff=0.7125 | kd=1.9939 | recon=0.0520 | t=378s
  Ep 003 | step 2100/3737 | loss=0.8017 | diff=0.7088 | kd=1.9775 | recon=0.0464 | t=387s
  Ep 003 | step 2150/3737 | loss=0.9300 | diff=0.7074 | kd=1.9924 | recon=0.1113 | t=396s
  Ep 003 | step 2200/3737 | loss=1.0686 | diff=0.8483 | kd=1.9918 | recon=0.1101 | t=405s
  Ep 003 | step 2250/3737 | loss=0.8634 | diff=0.7693 | kd=1.9748 | recon=0.0471 | t=415s
  Ep 003 | step 2300/3737 | loss=0.8004 | diff=0.7061 | kd=1.9816 | recon=0.0472 | t=424s
  Ep 003 | step 2350/3737 | loss=0.8811 | diff=0.7069 | kd=1.9808 | recon=0.0871 | t=433s
  Ep 003 | step 2400/3737 | loss=0.8888 | diff=0.7011 | kd=1.9997 | recon=0.0939 | t=443s
  Ep 003 | step 2450/3737 | loss=0.8498 | diff=0.7298 | kd=1.9788 | recon=0.0600 | t=452s
  Ep 003 | step 2500/3737 | loss=0.9591 | diff=0.7091 | kd=1.9983 | recon=0.1250 | t=461s
  Ep 003 | step 2550/3737 | loss=0.9527 | diff=0.7886 | kd=1.9782 | recon=0.0820 | t=470s
  Ep 003 | step 2600/3737 | loss=0.9835 | diff=0.8097 | kd=2.0024 | recon=0.0869 | t=480s
  Ep 003 | step 2650/3737 | loss=0.8160 | diff=0.7080 | kd=1.9923 | recon=0.0540 | t=489s
  Ep 003 | step 2700/3737 | loss=0.8606 | diff=0.7037 | kd=2.0008 | recon=0.0785 | t=498s
  Ep 003 | step 2750/3737 | loss=0.8629 | diff=0.7089 | kd=1.9901 | recon=0.0770 | t=508s
  Ep 003 | step 2800/3737 | loss=1.0166 | diff=0.6994 | kd=1.9941 | recon=0.1586 | t=517s
  Ep 003 | step 2850/3737 | loss=0.9053 | diff=0.7063 | kd=1.9850 | recon=0.0995 | t=526s
  Ep 003 | step 2900/3737 | loss=0.8898 | diff=0.7088 | kd=1.9871 | recon=0.0905 | t=535s
  Ep 003 | step 2950/3737 | loss=0.8266 | diff=0.7078 | kd=2.0039 | recon=0.0594 | t=545s
  Ep 003 | step 3000/3737 | loss=0.8885 | diff=0.7023 | kd=1.9808 | recon=0.0931 | t=554s
  Ep 003 | step 3050/3737 | loss=0.8519 | diff=0.7029 | kd=1.9771 | recon=0.0745 | t=563s
  Ep 003 | step 3100/3737 | loss=0.8382 | diff=0.7163 | kd=1.9769 | recon=0.0609 | t=573s
  Ep 003 | step 3150/3737 | loss=0.8143 | diff=0.6953 | kd=1.9799 | recon=0.0595 | t=582s
  Ep 003 | step 3200/3737 | loss=0.8256 | diff=0.7021 | kd=1.9943 | recon=0.0617 | t=590s
  Ep 003 | step 3250/3737 | loss=0.8046 | diff=0.7059 | kd=1.9843 | recon=0.0494 | t=597s
  Ep 003 | step 3300/3737 | loss=0.8024 | diff=0.6975 | kd=1.9764 | recon=0.0524 | t=606s
  Ep 003 | step 3350/3737 | loss=0.8160 | diff=0.6987 | kd=1.9929 | recon=0.0587 | t=616s
  Ep 003 | step 3400/3737 | loss=0.8334 | diff=0.7046 | kd=1.9873 | recon=0.0644 | t=625s
  Ep 003 | step 3450/3737 | loss=0.8118 | diff=0.6961 | kd=1.9954 | recon=0.0578 | t=634s
  Ep 003 | step 3500/3737 | loss=0.9590 | diff=0.7164 | kd=1.9926 | recon=0.1213 | t=644s
  Ep 003 | step 3550/3737 | loss=0.8577 | diff=0.7037 | kd=1.9914 | recon=0.0770 | t=653s
  Ep 003 | step 3600/3737 | loss=0.8810 | diff=0.8046 | kd=1.9752 | recon=0.0382 | t=662s
  Ep 003 | step 3650/3737 | loss=0.8101 | diff=0.6943 | kd=1.9852 | recon=0.0579 | t=671s
  Ep 003 | step 3700/3737 | loss=0.8099 | diff=0.6990 | kd=2.0063 | recon=0.0555 | t=681s

  ── Epoch 003/15 (780s) ──────────────────────
  Train  loss=0.8901  diff=0.7242  kd=1.9907  recon=0.0829
